Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
09/21/2022,371,2,27,70,70,74,44,44,31,23,15,0,217,154,0,118,24,88,92,11,38,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,1,0,0,2,3,3,3,5,4,4,3,0,11,16,0,8,2,11,5,0,1
09/05/2020,203,3,21,23,61,40,34,21,17,6,1,0,94,109,0,91,5,31,56,4,16,0,0,0,0,1,0,1,1,0,1,2,0,2,0,1,0,0,0,0,1,2,3,5,5,2,3,0,13,8,0,7,0,7,7,0,0
01/08/2021,1204,18,51,159,327,215,167,152,109,48,27,0,613,590,1,437,46,253,320,44,104,0,0,1,2,1,4,6,4,0,10,8,0,4,3,7,3,0,1,2,0,3,7,13,12,5,9,0,27,24,0,15,2,23,10,1,0
07/02/2022,542,0,27,80,106,92,83,71,48,43,19,0,331,209,2,124,37,127,159,26,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,6,6,4,4,0,15,12,0,3,1,13,9,0,1
10/24/2020,883,5,60,109,224,196,140,105,59,37,13,0,469,414,0,361,22,131,267,32,70,0,0,0,0,0,0,2,3,0,2,3,0,0,0,2,3,0,0,2,9,8,6,6,9,14,6,0,31,29,0,20,2,25,9,3,1
10/18/2022,390,1,32,83,56,42,46,53,58,32,19,1,219,168,3,80,27,122,100,17,44,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,4,4,3,6,6,6,0,15,17,0,3,2,15,11,1,0
03/27/2021,410,4,32,61,108,94,55,45,34,9,4,0,199,211,0,98,22,83,163,14,30,0,0,0,1,1,1,0,1,0,2,2,0,0,0,3,1,0,0,0,4,1,8,4,7,4,4,0,15,17,0,11,1,12,8,0,0
09/04/2020,395,2,21,61,102,82,53,38,33,16,10,0,206,188,1,193,13,71,92,8,18,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,3,1,3,3,2,4,5,0,14,7,0,10,1,9,1,0,0
11/05/2020,2637,6,110,289,763,579,388,312,186,70,50,0,1380,1249,8,1083,57,417,657,122,301,0,0,1,0,1,0,0,4,0,3,3,0,1,0,1,3,1,0,2,7,11,9,19,30,17,15,0,49,61,0,32,3,46,24,4,1
02/06/2023,468,4,34,142,71,67,51,63,36,22,16,0,255,207,6,147,16,160,87,19,39,0,0,0,0,0,0,1,3,0,3,1,0,0,1,2,1,0,0,2,7,1,2,4,9,7,2,0,17,17,0,5,0,14,14,1,0
